Station_Name,Avg_July_MaxT,Peak_Record,Asset_Name,Status,Lat,Lng,State
AJO,106.0645161,113.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,103.9677419,118.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,104.6774194,116.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,105.9032258,114.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,108.483871,115.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,103.3225806,111.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,105.0322581,115.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,111.9,118.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,110.516129,116.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
AJO,106.8064516,117.0,NONE FOUND,CRITICAL DESERT,32.37,-112.86,AZ
ALPINE,81.37037037,87.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,81.37037037,87.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,76.18181818,83.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,76.18181818,83.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,78.93548387,86.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,78.93548387,86.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,79.77419355,84.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,79.77419355,84.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,79.80645161,88.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,79.80645161,88.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,76.46428571,90.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,76.46428571,90.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,78.12903226,86.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,78.12903226,86.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,85.6875,90.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,85.6875,90.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
ALPINE,80.51851852,85.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,AZ
ALPINE,80.51851852,85.0,NONE FOUND,CRITICAL DESERT,33.849,-109.147,CA
